RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
NFN.DE;DE000A0N4N52;Nfon AG;Technology;Germany
WSUG.DE;DE0007507501;WashTec AG;Industrials;Germany
PA8G.DE;DE000A0B65S3;Paion AG;Healthcare;Germany
B5AG.DE;DE0005168108;Bauer AG;Basic Materials;Germany
KTEK.DE;DE000A2TSQH7;Katek Se;Technology;Germany
RIB.F;DE000A0Z2XN6;RIB Software SE;Technology;Germany
GSC1n.DE;DE000A1K0201;Gesco AG;Industrials;Germany
WSO1k.DE;DE000A2GS609;Wallstreet Online AG;Industrials;Germany
TTRGn.DE;DE000A0XYGA7;technotrans SE;Industrials;Germany
SJJG.DE;DE000A2G8X31;Serviceware SE;Technology;Germany
CC11.DE;DE000A2DA414;Consus Real Estate AG;Real Estate;Germany
ACT1k.DE;DE000A2YNT30;AlzChem Group AG;Basic Materials;Germany
DMRE.DE;DE000A0XFSF0;Demire Deutsche Mittelstand Real Estate AG;Real Estate;Germany
HGEA.DE;DE000A3CMGN3;hGears AG;Consumer Cyclicals;Germany
MF6G.DE;DE000A0HGQF5;Magforce AG;Healthcare;Germany
HAWG.DE;DE0006042708;Hawesko Holding AG;Technology;Germany
HAEk.DE;DE000A289VV1;Haemato AG;Healthcare;Germany
BNNn.DE;DE0005203947;BRAIN Biotech AG;Industrials;Germany
HNDG.F;DE0006069008;FRoSTA AG;Consumer Non-Cyclicals;Germany
GTYG.DE;DE000A0JJTG7;Gateway Real Estate AG;Real Estate;Germany
UUUG.DE;DE0005167902;3U Holding AG;Consumer Cyclicals;Germany
TLGG.DE;DE000A12B8Z4;TLG Immobilien AG;Real Estate;Germany
BST1.DE;DE000A1X3YY0;Bastei Luebbe AG;Consumer Cyclicals;Germany
SWAG.DE;DE0007229007;Schloss Wachenheim AG;Consumer Non-Cyclicals;Germany
VH2.DE;DE000A255F11;Friedrich Vorwerk Group SE;Industrials;Germany
A1OS.DE;DE0005110001;All for One Group SE;Technology;Germany
ELBG.DE;DE000A11Q059;elumeo SE;Consumer Cyclicals;Germany
A4Y.DE;DE000A0KFKB3;Accentro Real Estate AG;Real Estate;Germany
HPHA.DE;DE000A11QVV0;Heidelberg Pharma AG;Healthcare;Germany
S4AG.DE;DE0005751986;SMT Scharf AG;Basic Materials;Germany
IVXG.DE;DE0005859698;InVision AG;Technology;Germany
S9I.DE;DE000A2G9MZ9;Stemmer Imaging AG;Technology;Germany
IURG.DE;DE0006208408;Kap AG;Financials;Germany
SNGGk.DE;DE000A1681X5;Singulus Technologies AG;Industrials;Germany
IXXG.DE;DE0005759807;init innovation in traffic systems SE;Technology;Germany
ETGG.DE;DE000A0MVLS8;EnviTec Biogas AG;Utilities;Germany
93M1k.DE;DE000A289V03;MPH Health Care AG;Healthcare;Germany
EMHn.DE;DE000A2YN777;Pferdewetten de AG;Consumer Cyclicals;Germany
L1OGk.DE;DE000A12UP29;Lloyd Fonds AG;Financials;Germany
DEXGn.DE;DE0005146807;Delticom AG;Technology;Germany
